Book_Name,book_id,guten_genre,Author_Name,postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
Tokyo to Tijuana: Gabriele Departing America,pg12733.epub,Literary,Sills| Steven David Justin,0.114,0.7910000000000000,0.096,10479,0.871125793708433,436,514,377,69.2,3
The Coquette's Victim - Everyday Life Library No. 1,pg12886.epub,Literary,Brame| Charlotte M,0.187,0.7,0.113,1560,0.868876795540909,75,88,121,81.87,3
The Song of the Blood-Red Flower,pg12935.epub,Literary,Linnankoski| Johannes,0.146,0.755,0.098,5548,0.863384856965827,76,170,250,91.97,3
People Like That - A Novel,pg12972.epub,Literary,Bosher| Kate Langley,0.11,0.785,0.106,4670,0.867463888133798,159,200,189,91.69,3
The Lady of Big Shanty,pg12989.epub,Literary,Smith| F. Berkeley,0.13700000000000000,0.78,0.084,2212,0.874291504175938,132,121,261,83.25,3
The Philanderers,pg13057.epub,Literary,Mason| A. E. W.,0.11900000000000000,0.7960000000000000,0.085,4243,0.857331067805941,78,173,274,80.91,3
Coralie - Everyday Life Library No. 2,pg13162.epub,Literary,Brame| Charlotte M.,0.213,0.6940000000000000,0.09300000000000000,1949,0.865440515185241,65,101,52,91.63,3
Broken to the Plow - A Novel,pg13178.epub,Literary,Dobie| Charles Caldwell,0.12300000000000000,0.774,0.10300000000000000,5146,0.873479003274554,76,148,317,80.5,3
The Wild Olive: A Novel,pg13212.epub,Literary,King| Basil,0.136,0.784,0.08,5957,0.862464153350176,154,311,391,80.49,3
The American Baron: A Novel,pg13257.epub,Literary,Mille| James De,0.14300000000000000,0.746,0.111,8823,0.870043821987401,130,276,344,84.21,3
Out of the Ashes,pg13273.epub,Literary,Grant| Ethel Watts Mumford,0.14400000000000000,0.75,0.106,4220,0.870047532038082,99,212,290,82.84,3
The Light That Lures,pg13312.epub,Literary,Brebner| Percy James,0.133,0.752,0.115,5907,0.867900083513112,128,114,279,81.12,3
Miss Bretherton,pg13432.epub,Literary,Ward| Mrs. Humphry,0.174,0.748,0.078,2057,0.86134669240371,103,141,122,77.01,3
Aylwin,pg13454.epub,Literary,Watts-Dunton| Theodore,0.133,0.77,0.09700000000000000,8872,0.860772130222292,457,388,241,80.22,3
The Collected Works of Ambrose Bierce- Volume 1,pg13541.epub,Literary,Bierce| Ambrose,0.125,0.7510000000000000,0.12300000000000000,2812,0.855021315966748,197,20,148,58.75,3
The Son of Clemenceau- A Novel of Modern Love and Life,pg13572.epub,Literary,Dumas| Alexandre,0.153,0.736,0.111,3489,0.86263382030125,135,209,295,75.14,3
One Day  A sequel to 'Three Weeks',pg13776.epub,Literary,Elinor Glyn,0.18,0.7240000000000000,0.096,3480,0.865251181265069,150,174,213,81.27,3
The Port of Missing Men,pg13913.epub,Literary,Nicholson| Meredith,0.134,0.77,0.096,4882,0.861425352363499,171,102,326,79.91,3
The Seven Poor Travellers,pg1392.epub,Christmas Stories,Dickens| Charles,0.155,0.7660000000000000,0.079,449,0.859714929973882,44,24,57,73.03,0
Charles Rex,pg13960.epub,Love and Romance,Dell| Ethel M.,0.159,0.745,0.096,10375,0.870906196210106,138,268,366,85.66,4
V. V.'s Eyes,pg13985.epub,Literary,Harrison| Henry Sydnor,0.14300000000000000,0.762,0.095,10354,0.879299729218723,368,422,397,80.62,3
The End of the World: A Love Story,pg14051.epub,Love and Romance,Eggleston| Edward,0.141,0.759,0.1,3885,0.867414875585718,282,180,306,79.96,4
Sandy,pg14079.epub,Sea and Adventure,Rice| Alice Caldwell Hegan,0.13,0.778,0.092,3437,0.867758921108456,120,173,288,82.34,5
If Winter Comes,pg14145.epub,Literary,Hutchinson| A. S. M.,0.132,0.772,0.096,9589,0.870522055887032,262,198,366,83.43,3
Going into Society,pg1422.epub,Literary,Dickens| Charles,0.114,0.825,0.061,276,0.84890475135221,24,3,57,80.69,3
Flames,pg14253.epub,Literary,Hichens| Robert,0.135,0.747,0.11800000000000000,13197,0.865712219921429,169,328,455,80.63,3
Queed - A Novel,pg14303.epub,Literary,Harrison| Henry Sydnor,0.145,0.767,0.087,8651,0.87384880582006,310,218,460,79.38,3
The Missing Bride,pg14382.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,0.161,0.726,0.11200000000000000,6417,0.870017280874373,241,264,299,79.83,3
Septimus,pg14395.epub,Literary,Locke| William John,0.149,0.762,0.08900000000000000,5519,0.867265733678254,163,209,334,82.19,3
The Exemplary Novels of Cervantes,pg14420.epub,Literary,Saavedra| Miguel de Cervantes,0.152,0.769,0.079,5388,0.862051359122323,370,303,482,69.32,3
True Love's Reward - A Sequel to Mona,pg14427.epub,Literary,Sheldon| Mrs. Georgie,0.138,0.769,0.09300000000000000,3258,0.867002485303489,92,292,229,76.23,3
The Doctor's Dilemma,pg14454.epub,Literary,Stretton| Hesba,0.138,0.758,0.105,7575,0.863817268130459,161,210,192,81.11,3
A Daughter of To-Day,pg14490.epub,Literary,Duncan| Sara Jeannette,0.157,0.762,0.081,4730,0.865849726016297,194,350,251,71.02,3
Sister Carmen,pg14523.epub,Literary,Corvus| M.,0.179,0.72,0.102,1717,0.871491766793661,71,137,163,75.69,3
The Just and the Unjust,pg14581.epub,Literary,Kester| Vaughan,0.124,0.763,0.113,6360,0.865757183649403,105,148,453,82.82,3
The Devil's Garden,pg14605.epub,Literary,Maxwell| W. B.,0.145,0.757,0.098,6973,0.871250879479229,173,283,433,79.43,3
Jaffery,pg14669.epub,Literary,Locke| William John,0.153,0.748,0.099,7665,0.870235897783296,213,290,345,82.23,3
Christian's Mistake,pg14687.epub,Literary,Craik| Dinah Maria Mulock,0.172,0.71,0.11800000000000000,3492,0.8840640320936100,98,258,170,78.6,3
The Laurel Bush: An Old-Fashioned Love Story,pg14708.epub,Love and Romance,Craik| Dinah Maria Mulock,0.168,0.732,0.1,1833,0.878312031033037,74,143,143,78.68,4
Vandover and the Brute,pg14712.epub,Literary,Norris| Frank,0.114,0.7930000000000000,0.09300000000000000,5386,0.85995411035854,108,101,348,78.39,3
The Younger Set,pg14852.epub,Literary,Chambers| Robert W.,0.152,0.75,0.098,10189,0.878380543752192,273,353,459,82.89,3
The Man Thou Gavest,pg14858.epub,Literary,Comstock| Harriet T.,0.16,0.74,0.099,6173,0.87425970276947,168,286,354,83.55,3
Red Pottage,pg14885.epub,Literary,Cholmondeley| Mary,0.132,0.767,0.10100000000000000,3983,0.875919491940042,147,183,210,79.66,3
The Keeper of the Door,pg15013.epub,Literary,Dell| Ethel M.,0.162,0.737,0.10100000000000000,9538,0.871721076916414,119,334,289,85.85,3
The Cathedral,pg15067.epub,Literary,Huysmans| J.-K.,0.12,0.7980000000000000,0.08200000000000000,4465,0.838153156844953,645,154,302,61.35,3
The Cab of the Sleeping Horse,pg15094.epub,Literary,Scott| John Reed,0.147,0.785,0.068,5118,0.8618267001402,106,240,264,82.94,3
The Jervaise Comedy,pg15116.epub,Literary,Beresford| J. D.,0.133,0.7660000000000000,0.10100000000000000,4433,0.858574421257034,79,165,154,80.69,3
"Sea and Shore - A Sequel to ""Miriam's Memoirs""",pg15117.epub,Literary,Warfield| Catherine A.,0.149,0.747,0.10400000000000000,3791,0.875173826600024,369,184,296,77.32,3
David LockwinâThe People's Idol,pg15123.epub,Literary,McGovern| John,0.15,0.75,0.1,5668,0.862427288650965,125,107,260,85.37,3
The Inner Sisterhood - A Social Study in High Colors,pg15179.epub,Literary,Sherley| Douglass,0.187,0.6860000000000000,0.126,1164,0.874212839232134,66,58,62,81.34,3
My Mother's Rival - Everyday Life Library No. 4,pg15181.epub,Literary,Brame| Charlotte M.,0.184,0.695,0.121,1285,0.863737100098117,45,93,66,91.0,3
Marion Arleigh's Penance - Everyday Life Library No. 5,pg15182.epub,Literary,Brame| Charlotte M.,0.213,0.691,0.096,1473,0.86327419342548,43,154,89,80.69,3
The Tragedy of the Chain Pier - Everyday Life Library No. 3,pg15183.epub,Literary,Brame| Charlotte M.,0.171,0.6940000000000000,0.135,1397,0.850712257371343,26,92,50,90.82,3
Lewie - The Bended Twig,pg15244.epub,Literary,Bradford| Sarah H.,0.159,0.735,0.106,2326,0.86558194341341,130,213,174,74.84,3
Bessie's Fortune: A Novel,pg15275.epub,Literary,Holmes| Mary Jane,0.14300000000000000,0.7610000000000000,0.096,6656,0.859932732616149,360,452,456,85.1,3
Gladys- the Reaper,pg15315.epub,Literary,Beale| Anne,0.172,0.746,0.081,10204,0.873766780156719,385,434,397,80.32,3
The Baronet's Bride- A Woman's Vengeance,pg15317.epub,Literary,Fleming| May Agnes,0.172,0.726,0.102,319,0.85892199539105,23,3,13,90.73,3
Tracy Park: A Novel,pg15321.epub,Literary,Holmes| Mary Jane,0.124,0.7910000000000000,0.085,7441,0.858595222047795,329,478,506,85.24,3
The Lever: A Novel,pg15430.epub,Literary,Orcutt| William Dana,0.158,0.762,0.08,4888,0.874437986203173,140,143,355,71.26,3
Trumps,pg15498.epub,Literary,Curtis| George William,0.18100000000000000,0.74,0.079,10228,0.87715909080489,463,319,486,80.79,3
Captivity,pg15527.epub,Literary,Eyles| Leonora,0.122,0.757,0.122,10030,0.872381591087157,331,333,387,83.49,3
A Splendid Hazard,pg15671.epub,Literary,MacGrath| Harold,0.165,0.742,0.092,6110,0.872464529604287,132,141,303,82.91,3
Far to Seek - A Romance of England and India,pg15704.epub,Literary,Diver| Maud,0.156,0.7290000000000000,0.115,10237,0.879733364186112,402,366,479,81.12,3
Bunker Bean,pg15743.epub,Literary,Wilson| Harry Leon,0.126,0.7880000000000000,0.086,5603,0.870951572107889,167,129,390,81.32,3
Ishmael- In the Depths,pg15774.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,0.16700000000000000,0.736,0.09700000000000000,13216,0.870894741988059,347,400,493,80.51,3
An Unpardonable Liar,pg15793.epub,Literary,Parker| Gilbert,0.14300000000000000,0.764,0.09300000000000000,1590,0.86014498490627,45,92,122,82.22,3
The Seeker,pg15797.epub,Literary,Wilson| Harry Leon,0.168,0.731,0.10100000000000000,4238,0.874985201255209,237,192,350,76.57,3
Walter Harland - Memories of the Past,pg15799.epub,Literary,Caswell| Harriet S.,0.158,0.752,0.091,1440,0.864391560945242,91,120,184,74.3,2
Garman and Worse: A Norwegian Novel,pg15864.epub,Literary,Kielland| Alexander Lange,0.124,0.785,0.091,3847,0.860859670718329,138,181,280,75.57,2
The Unseen Bridegroom- Wedded For a Week,pg15875.epub,Literary,Fleming| May Agnes,0.157,0.721,0.122,7169,0.876846735478521,227,235,181,84.08,2
Allegories of Life,pg15895.epub,Allegories,Adams| Mrs. J. S.,0.185,0.727,0.08800000000000000,1359,0.860462328648748,40,97,113,83.21,0
His Excellency the Minister,pg15934.epub,Literary,Claretie| Jules,0.179,0.7340000000000000,0.08800000000000000,8525,0.871219334806415,347,283,396,68.91,2
An Englishwoman's Love-Letters,pg15941.epub,Literary,Housman| Laurence,0.193,0.716,0.091,2445,0.854351051842383,135,66,75,87.63,2
The Fatal Glove,pg15989.epub,Literary,Augusta| Clara,0.157,0.71,0.133,3343,0.8660109103682030,102,146,154,82.4,2
The Lost Lady of Lone,pg16039.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,0.13700000000000000,0.759,0.10400000000000000,9886,0.861929365913584,384,382,316,78.29,2
Uncle Max,pg16080.epub,Literary,Carey| Rosa Nouchette,0.15,0.726,0.124,10754,0.868257854815224,325,371,376,82.67,2
For Woman's Love,pg16094.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,0.14400000000000000,0.77,0.086,9338,0.868301869008395,261,293,342,79.54,2
The Hoyden,pg16137.epub,Literary,Duchess|,0.161,0.721,0.11800000000000000,10964,0.869952771382468,184,491,369,85.08,2
The Cromptons,pg16138.epub,Literary,Holmes| Mary Jane,0.115,0.807,0.078,5208,0.861423253906657,300,355,320,88.98,2
A Man and a Woman,pg16143.epub,Literary,Waterloo| Stanley,0.14400000000000000,0.777,0.079,3459,0.849581274826445,119,123,242,78.39,2
Prince Fortunatus,pg16217.epub,Literary,Black| William,0.157,0.763,0.08,8643,0.870080630782651,337,383,530,80.66,2
Jan: A Dog and a Romance,pg16252.epub,Literary,Dawson| A. J.,0.134,0.762,0.105,3218,0.864198824646668,140,83,334,73.28,2
Idolatry: A Romance,pg16283.epub,Literary,Hawthorne| Julian,0.153,0.735,0.11200000000000000,4713,0.874510536141146,125,163,351,68.79,2
The Foolish Virgin,pg1634.epub,Literary,Dixon| Thomas,0.161,0.73,0.109,5785,0.863853211913983,93,222,201,92.46,2
Ellen Walton - The Villain and His Victims,pg16345.epub,Literary,Addison| Alvin,0.16900000000000000,0.6890000000000000,0.142,1161,0.860406848641066,43,49,101,75.3,2
The Summons,pg16381.epub,Literary,Mason| A. E. W.,0.126,0.784,0.08900000000000000,8120,0.8684181060805040,274,215,308,81.57,2
What Necessity Knows,pg16398.epub,Literary,Dougall| L.,0.128,0.7810000000000000,0.091,7557,0.86365960075525,175,318,502,76.7,2
Led Astray and The Sphinx - Two Novellas In One Volume,pg16403.epub,Literary,Feuillet| Octave,0.16700000000000000,0.721,0.111,2935,0.864177462846253,114,173,118,69.74,2
The Measure of a Man,pg16453.epub,Literary,Barr| Amelia E.,0.179,0.73,0.091,5115,0.8688196765200240,232,180,255,82.27,2
The Moon out of Reach,pg16497.epub,Love and Romance,Pedler| Margaret,0.157,0.742,0.10100000000000000,9107,0.877513097038473,205,365,344,82.19,3
Foes,pg16554.epub,Literary,Johnston| Mary,0.124,0.804,0.07200000000000000,7560,0.866193863943714,317,107,272,91.39,2
The Twins - A Domestic Novel,pg16574.epub,Literary,Tupper| Martin Farquhar,0.195,0.6940000000000000,0.111,1141,0.885016192677063,152,118,172,75.35,2
The Lee Shore,pg16612.epub,Literary,Macaulay| Rose,0.162,0.742,0.096,6234,0.873526192541386,196,150,339,82.94,2
Bad Hugh,pg16662.epub,Literary,Holmes| Mary Jane,0.136,0.76,0.10400000000000000,5821,0.875656781905656,318,376,486,79.32,2
Eveline Mandeville - The Horse Thief Rival,pg16676.epub,Literary,Addison| Alvin,0.13700000000000000,0.731,0.132,3358,0.860626801445965,69,192,273,75.58,2
Adrien Leroy,pg16682.epub,Literary,Garvice| Charles,0.159,0.741,0.1,4356,0.876453380929356,143,211,342,80.36,2
A Comedy of Masks: A Novel,pg16703.epub,Literary,Dowson| Ernest Christopher| Moore| Arthur,0.14800000000000000,0.75,0.10300000000000000,4971,0.871966845236639,150,217,369,70.77,2
The Husbands of Edith,pg16719.epub,Literary,McCutcheon| George Barr,0.16,0.746,0.094,772,0.86629101904114,31,42,74,83.01,2
Marzio's Crucifix and Zoroaster,pg16720.epub,Literary,Crawford| F. Marion,0.141,0.759,0.10100000000000000,7025,0.853428724447462,178,259,443,75.12,2
Mike Fletcher: A Novel,pg16730.epub,Literary,Moore| George Augustus,0.152,0.754,0.094,5141,0.862104880805342,282,156,452,79.82,2
Jacqueline of Golden River,pg16771.epub,Literary,Egbert| H. M.,0.098,0.797,0.105,4243,0.85346865411813,110,103,184,82.06,2
My Little Lady,pg16788.epub,Literary,Poynter| E. Frances,0.136,0.77,0.094,5152,0.871813058255877,229,347,234,78.18,2
Elster's Folly: A Novel,pg16798.epub,Literary,Wood| Mrs. Henry,0.122,0.773,0.10400000000000000,10935,0.871673967920116,230,339,468,82.1,2
Dangerous Ages,pg16799.epub,Literary,Macaulay| Rose,0.152,0.745,0.102,4348,0.882391337578524,157,204,119,81.34,2
Lydia of the Pines,pg16803.epub,Literary,Morrow| Honor,0.133,0.779,0.08800000000000000,8578,0.87271615645634,190,301,256,83.93,2
Mark Hurdlestone - The Two Brothers,pg16836.epub,Literary,Moodie| Susanna,0.188,0.672,0.141,5851,0.866551127068136,217,195,405,77.96,2
The Halo,pg16909.epub,Literary,Hutten| Bettina Von,0.17,0.727,0.10300000000000000,5534,0.874692876225259,352,294,285,84.14,2
The Bradys and the Girl Smuggler Working for the Custom House,pg16919.epub,Detective and Mystery,Doughty| Francis Worcester,0.107,0.78,0.113,2352,0.867425108140642,72,71,160,82.76,1
The Bad Man: A Novel,pg16968.epub,Literary,Browne| Porter Emerson| Towne| Charles Hanson,0.152,0.733,0.115,6177,0.878361835565594,125,142,301,94.75,2
The Vanished Messenger,pg1699.epub,Detective and Mystery,Oppenheim| E. Phillips,0.124,0.7960000000000000,0.081,7253,0.873861939506241,103,110,274,82.96,1
Miss Dexie - A Romance of the Provinces,pg16993.epub,Literary,Eveleth| Stanford,0.16700000000000000,0.7510000000000000,0.08200000000000000,8132,0.8702122932518140,223,405,363,79.56,2
The Half-Hearted,pg17047.epub,Sea and Adventure,Buchan| John,0.151,0.741,0.10800000000000000,6148,0.8568550518566740,242,118,339,80.59,4
The Man and the Moment,pg17048.epub,Literary,Glyn| Elinor,0.172,0.7390000000000000,0.08800000000000000,2908,0.869777343855108,145,222,228,79.49,2
The Crock of Gold - A Rural Novel,pg17062.epub,Literary,Tupper| Martin Farquhar,0.17600000000000000,0.69,0.134,2070,0.881076819956962,272,112,320,76.84,2
Guy Livingstone'Thorough',pg17084.epub,Literary,Lawrence| George A.,0.147,0.731,0.122,4176,0.880332073431546,405,133,288,77.38,2
Destiny,pg17141.epub,Literary,Buck| Charles Neville,0.139,0.759,0.102,7368,0.872347122004002,233,267,457,78.22,2
The Actress in High Life - An Episode in Winter Quarters,pg17191.epub,Literary,Bowen| Sue Petigru,0.13700000000000000,0.775,0.08800000000000000,4622,0.87069463499487,234,186,340,64.36,2
Atlantis,pg17241.epub,Literary,Hauptmann| Gerhart,0.127,0.777,0.096,1086,0.859878095214573,91,34,105,65.53,2
Sunrise,pg17308.epub,Literary,Black| William,0.153,0.752,0.095,11246,0.866215708577989,262,324,462,81.48,2
Arms and the Woman,pg17359.epub,Love and Romance,MacGrath| Harold,0.159,0.7510000000000000,0.09,6927,0.849879105505734,113,155,217,84.84,3
Hearts and Masks,pg17390.epub,Literary,MacGrath| Harold,0.155,0.754,0.091,2306,0.860581206998674,84,54,74,84.5,2
The Adventures of Kathlyn,pg17402.epub,Literary,MacGrath| Harold,0.115,0.772,0.113,8121,0.864988344579566,159,209,309,81.5,2
The Thin Red Line  and Blue Blood,pg17434.epub,Literary,Griffiths| Arthur,0.138,0.743,0.11900000000000000,8155,0.878095847154404,287,174,334,80.83,2
The Second Honeymoon,pg17446.epub,Literary,Ayres| Ruby M.,0.145,0.741,0.114,5501,0.860162991935541,69,246,280,84.96,2
The Red Seal,pg1747.epub,Literary,Lincoln| Natalie Sumner,0.106,0.789,0.105,4083,0.870605689512595,109,180,285,72.62,2
Other People's Money,pg1748.epub,Detective and Mystery,Gaboriau| Emile,0.135,0.757,0.10800000000000000,10141,0.869249717088013,214,313,481,78.96,1
On the Church Steps,pg17559.epub,Literary,Hallowell| Sarah C.,0.141,0.777,0.08200000000000000,1695,0.861890938087312,83,117,51,82.13,2
By the Light of the Soul: A Novel,pg17564.epub,Literary,Freeman| Mary Eleanor Wilkins,0.14300000000000000,0.7660000000000000,0.091,10857,0.8627470102763270,241,533,255,82.31,2
Romance,pg17642.epub,Literary,Conrad| Joseph| Ford| Ford Madox,0.11900000000000000,0.762,0.12,11017,0.861585971689804,363,148,404,80.8,2
Bella Donna: A Novel,pg17698.epub,Literary,Hichens| Robert,0.14,0.775,0.084,13838,0.864589532498623,210,374,422,81.81,2
The Courage of Marge O'Doone,pg17745.epub,Literary,Curwood| James Oliver,0.122,0.774,0.10400000000000000,5960,0.8467962618767,120,137,378,88.3,2
Foes in Ambush,pg17806.epub,Literary,King| Charles,0.10800000000000000,0.7880000000000000,0.10400000000000000,3441,0.872168878283687,159,44,252,77.96,2
Contrary Mary,pg17938.epub,Literary,Bailey| Temple,0.151,0.7810000000000000,0.068,6262,0.863202622742869,158,264,268,91.65,2
Betty at Fort Blizzard,pg18022.epub,Literary,Seawell| Molly Elliot,0.14400000000000000,0.772,0.084,2158,0.86080481888935,93,113,147,78.36,2
Medoline Selwyn's Work,pg18052.epub,Literary,Colter| Mrs. J. J.,0.18100000000000000,0.727,0.091,5002,0.8745974528493180,102,153,201,80.29,2
The Zeit-Geist,pg18054.epub,Literary,Dougall| L.,0.149,0.755,0.096,1726,0.853266401557897,36,129,163,75.0,2
Bucky O'Connor: A Tale of the Unfenced Border,pg1809.epub,Western Stories,Raine| William MacLeod,0.146,0.7560000000000000,0.098,6077,0.867467648365709,232,143,358,82.52,5
The Road to Mandalay - A Tale of Burma,pg18239.epub,Literary,Croker| B. M.,0.16400000000000000,0.74,0.09700000000000000,4256,0.877668545805429,297,243,274,79.81,2
Gentle Julia,pg18259.epub,Literary,Tarkington| Booth,0.14,0.78,0.081,4872,0.882996553405209,223,267,350,83.56,2
Enter Bridget,pg18280.epub,Literary,Cobb| Thomas,0.14,0.773,0.087,4048,0.879040037926967,87,202,208,82.32,2
The Case of the Lamp That Went Out,pg1832.epub,Detective and Mystery,Groner| Auguste,0.10800000000000000,0.789,0.10300000000000000,2590,0.857053578886666,58,92,199,78.71,1
The Case of the Registered Letter,pg1833.epub,Detective and Mystery,Groner| Auguste,0.11700000000000000,0.7440000000000000,0.139,885,0.851949245734909,38,19,83,77.44,1
The Lighted Match,pg18336.epub,Literary,Buck| Charles Neville,0.11900000000000000,0.794,0.08800000000000000,4442,0.8655525399187540,154,138,320,79.3,2
The Case of the Pocket Diary Found in the Snow,pg1834.epub,Detective and Mystery,Groner| Auguste,0.11,0.785,0.105,1104,0.860846265054715,31,40,79,79.23,1
The Case of the Pool of Blood in the Pastor's Study,pg1835.epub,Detective and Mystery,Groner| Auguste,0.128,0.762,0.11,1215,0.851608636955714,26,10,98,78.78,1
The Case of the Golden Bullet,pg1836.epub,Detective and Mystery,Groner| Auguste,0.132,0.777,0.09,944,0.850034577243832,26,14,106,79.3,1
A Melody in Silver,pg18434.epub,Literary,Abbott| Keene,0.133,0.7760000000000000,0.091,1232,0.85820381136143,37,68,145,88.84,2
Parrot & Co.,pg18443.epub,Literary,MacGrath| Harold,0.136,0.76,0.10400000000000000,5091,0.870811889368234,107,178,235,82.95,2
The Treasure of Heaven: A Romance of Riches,pg18449.epub,Literary,Corelli| Marie,0.18600000000000000,0.72,0.095,10142,0.878553957195777,352,308,513,81.36,2
The Vision Splendid,pg1846.epub,Western Stories,Raine| William MacLeod,0.155,0.745,0.1,6528,0.868498818788983,236,150,311,83.27,5
The Place Beyond the Winds,pg18488.epub,Literary,Comstock| Harriet T.,0.166,0.722,0.11200000000000000,6709,0.870826852392624,173,285,293,82.72,2
A Court of Inquiry,pg18489.epub,Literary,Richmond| Grace S.,0.14,0.789,0.071,3466,0.87205317163448,133,148,233,81.69,2
The Yellow Crayon,pg1849.epub,Detective and Mystery,Oppenheim| E. Phillips,0.149,0.757,0.094,7363,0.868851267778247,116,116,200,84.04,1
